Customer_ID,Age,Gender,Total_Spend,Average_Order_Value,Purchase_Frequency,Last_Purchase_Days,Customer_Rating,Complaint_Raised,Return_Count,Churn
C00290,49,Female,5736,478.0,12,74,5,Yes,0,0
C00291,50,Female,3480,348.0,10,111,3,No,3,0
C00292,26,Male,4158,462.0,9,47,5,Yes,2,1
C00293,29,Male,7758,862.0,9,29,4,No,2,0
C00294,36,Male,5222,746.0,7,59,2,No,5,0
C00295,29,Female,5772,481.0,12,35,2,No,4,0
C00296,46,Male,7425,825.0,9,100,1,Yes,4,1
C00297,45,Female,1608,536.0,3,77,5,No,2,0
C00298,21,Male,3030,505.0,6,115,5,Yes,1,0
C00299,28,Male,976,488.0,2,30,5,No,3,0
C00300,27,Female,4160,832.0,5,54,1,Yes,3,1
C00301,30,Female,2427,809.0,3,71,1,No,5,1
C00302,53,Male,950,475.0,2,4,4,Yes,5,1
C00303,48,Female,1635,545.0,3,68,3,No,5,0
C00304,32,Female,4405,881.0,5,22,2,No,1,0
C00305,31,Male,5382,598.0,9,65,1,No,4,0
C00306,37,Female,9516,793.0,12,32,5,No,5,0
C00307,39,Female,4411,401.0,11,87,2,Yes,1,0
C00308,47,Male,3636,404.0,9,46,1,Yes,4,1
C00309,34,Male,727,727.0,1,87,3,Yes,0,0
C00310,50,Female,6528,544.0,12,52,1,No,1,0
C00311,52,Female,8840,884.0,10,22,5,No,2,0
C00312,51,Female,7065,785.0,9,3,2,Yes,0,0
C00313,38,Female,3880,776.0,5,86,3,Yes,0,0
C00314,32,Male,7752,646.0,12,10,1,Yes,1,0
C00315,19,Female,4485,897.0,5,79,2,No,2,0
C00316,44,Male,9130,830.0,11,17,4,No,3,0
C00317,39,Male,2346,391.0,6,115,3,Yes,0,0
C00318,31,Female,643,643.0,1,77,1,No,5,1
C00319,32,Female,4266,474.0,9,3,3,No,5,0
C00320,45,Female,5048,631.0,8,9,2,Yes,1,0
C00321,23,Male,6501,591.0,11,113,2,Yes,3,1
C00322,48,Male,2604,651.0,4,50,4,Yes,5,1
C00323,38,Female,3480,580.0,6,57,3,No,2,0
C00324,20,Female,6664,833.0,8,49,5,No,0,0
C00325,39,Male,3760,470.0,8,61,1,Yes,5,1
C00326,18,Male,3150,630.0,5,23,3,Yes,2,1
C00327,42,Female,2315,463.0,5,28,1,No,5,0
C00328,42,Male,4055,811.0,5,77,4,Yes,1,0
C00329,21,Male,10440,870.0,12,118,2,Yes,4,1
C00330,26,Female,3515,703.0,5,89,5,Yes,5,1
C00331,41,Female,5152,736.0,7,73,1,Yes,0,0
C00332,22,Female,796,796.0,1,74,5,No,4,0
C00333,47,Female,3708,618.0,6,113,1,Yes,4,1
C00334,31,Male,326,326.0,1,68,3,Yes,5,1
C00335,26,Female,3400,680.0,5,33,3,Yes,5,1
C00336,48,Male,4092,682.0,6,69,1,No,1,0
C00337,56,Male,1662,831.0,2,15,2,Yes,0,0
C00338,29,Female,369,369.0,1,13,2,Yes,0,0
C00339,23,Male,614,614.0,1,93,1,Yes,0,1
C00340,54,Male,2366,338.0,7,90,3,No,4,0
C00341,35,Female,4860,486.0,10,5,4,Yes,5,1
C00342,24,Male,6612,551.0,12,110,5,No,5,0
C00343,52,Female,2620,655.0,4,81,5,Yes,2,1
C00344,52,Male,1876,469.0,4,8,2,No,0,0
C00345,19,Female,4356,484.0,9,112,1,No,4,0
C00346,20,Female,1614,538.0,3,63,5,No,3,0
C00347,18,Female,874,437.0,2,33,2,No,1,0
C00348,31,Male,1580,395.0,4,97,1,Yes,3,1
C00349,43,Female,1552,776.0,2,81,2,Yes,3,1
C00350,40,Male,405,405.0,1,66,2,Yes,1,1
C00351,60,Female,4345,869.0,5,16,5,Yes,0,0
C00352,45,Male,5040,720.0,7,94,1,No,1,0
C00353,21,Male,1374,687.0,2,60,1,Yes,4,1
C00354,55,Female,4370,874.0,5,46,4,No,3,0
C00355,40,Female,4974,829.0,6,67,1,Yes,2,1
C00356,47,Female,3608,328.0,11,64,1,No,3,0
C00357,32,Female,4842,538.0,9,7,2,No,5,0
C00358,53,Female,2022,674.0,3,90,2,Yes,2,1
C00359,38,Male,7659,851.0,9,66,3,No,2,0
C00360,43,Female,5130,513.0,10,62,5,No,0,0
C00361,35,Female,2352,784.0,3,72,3,No,4,0
C00362,52,Female,9185,835.0,11,16,2,Yes,3,1
C00363,57,Female,6780,678.0,10,38,3,No,4,0
C00364,29,Male,4480,896.0,5,82,4,No,0,0
C00365,48,Male,4536,504.0,9,45,3,No,0,0
C00366,35,Male,3440,344.0,10,31,5,No,3,0
C00367,46,Male,2349,783.0,3,11,4,Yes,0,0
C00368,58,Female,3420,855.0,4,61,5,Yes,1,0
C00369,59,Female,6352,794.0,8,39,5,Yes,3,1
C00370,57,Male,4240,424.0,10,99,1,Yes,3,1
C00371,30,Female,10800,900.0,12,50,4,No,2,0
C00372,23,Male,8150,815.0,10,25,1,Yes,2,1
C00373,57,Male,3920,560.0,7,9,1,No,5,0
C00374,44,Male,8352,696.0,12,55,4,Yes,2,1
C00375,27,Female,3381,483.0,7,73,4,Yes,4,1
C00376,49,Female,4548,758.0,6,90,3,Yes,2,1
C00377,23,Male,601,601.0,1,85,1,No,1,1
C00378,55,Male,3570,595.0,6,41,4,No,0,0
C00379,43,Female,2796,466.0,6,68,1,Yes,3,1
C00380,39,Female,1504,376.0,4,72,1,No,4,0
C00381,58,Female,7578,842.0,9,9,4,Yes,0,0
C00382,29,Female,3280,328.0,10,14,4,No,0,0
C00383,44,Male,4020,402.0,10,25,3,Yes,2,1
C00384,30,Male,3871,553.0,7,90,1,Yes,4,1
C00385,54,Male,6309,701.0,9,68,3,Yes,4,1
C00386,46,Male,332,332.0,1,9,4,No,5,0
C00387,21,Male,2696,337.0,8,46,5,Yes,3,1
C00388,52,Male,3080,308.0,10,8,1,No,2,0
C00389,32,Female,6182,562.0,11,89,1,No,0,0
C00390,45,Female,4004,572.0,7,107,3,Yes,1,0
C00391,44,Female,2328,388.0,6,4,2,No,1,0
C00392,49,Female,5810,581.0,10,16,3,No,0,0
C00393,45,Female,2330,466.0,5,77,3,No,5,0
C00394,36,Female,1965,655.0,3,22,3,No,5,0
C00395,46,Female,9570,870.0,11,69,2,No,1,0
C00396,31,Female,9141,831.0,11,73,2,Yes,2,1
C00397,57,Female,3640,728.0,5,107,4,Yes,3,1
C00398,21,Female,4014,446.0,9,55,1,Yes,3,1
C00399,34,Female,2220,740.0,3,98,3,Yes,0,0
C00400,38,Male,1220,305.0,4,108,1,Yes,4,1
C00401,43,Male,6180,515.0,12,27,1,Yes,0,0
C00402,53,Female,4910,491.0,10,36,3,Yes,1,0
C00403,41,Male,4744,593.0,8,6,2,Yes,2,1
C00404,48,Female,3930,786.0,5,117,2,No,1,0
C00405,45,Female,6057,673.0,9,75,2,Yes,5,1
C00406,36,Male,7119,791.0,9,81,5,Yes,3,1
C00407,46,Female,3493,499.0,7,106,1,Yes,1,0
C00408,35,Male,3656,457.0,8,102,3,Yes,3,1
C00409,35,Male,957,319.0,3,59,2,Yes,5,1
C00410,44,Female,3384,564.0,6,47,4,No,3,0
C00411,24,Male,2840,710.0,4,5,1,No,4,0
C00412,43,Female,819,819.0,1,44,3,Yes,5,1
C00413,43,Male,5752,719.0,8,110,3,Yes,0,0
C00414,32,Male,4510,451.0,10,86,4,No,2,0
C00415,21,Male,3055,611.0,5,108,3,No,4,0
C00416,28,Male,3388,484.0,7,92,2,No,4,0
C00417,31,Female,5509,787.0,7,4,3,Yes,2,1
C00418,39,Female,488,488.0,1,55,4,Yes,3,1
C00419,40,Male,5208,868.0,6,81,1,Yes,2,1
C00420,21,Male,2415,345.0,7,49,3,No,5,0
C00421,54,Female,3200,800.0,4,71,5,Yes,1,0
C00422,51,Male,5760,480.0,12,76,4,Yes,4,1
C00423,60,Male,4522,646.0,7,33,2,No,4,0
C00424,39,Male,3344,836.0,4,44,3,Yes,2,1
C00425,36,Female,1950,325.0,6,62,5,No,3,0
C00426,21,Male,3200,800.0,4,14,4,Yes,3,1
C00427,30,Female,4279,389.0,11,11,5,No,2,0
C00428,30,Female,2265,755.0,3,18,4,Yes,1,0
C00429,36,Male,3120,520.0,6,45,1,Yes,2,1
C00430,35,Female,2196,366.0,6,72,4,Yes,3,1
C00431,23,Female,7506,834.0,9,34,3,Yes,4,1
C00432,48,Male,5005,715.0,7,23,5,Yes,5,1
C00433,24,Female,7512,626.0,12,31,4,Yes,2,1
C00434,50,Male,1041,347.0,3,116,2,No,2,1
C00435,59,Male,7880,788.0,10,1,4,No,1,0
C00436,58,Male,6120,612.0,10,96,3,Yes,3,1
C00437,37,Female,3784,473.0,8,29,1,No,3,0
C00438,35,Male,6399,711.0,9,76,5,No,1,0
C00439,45,Male,2255,451.0,5,104,5,No,2,0
C00440,55,Female,4212,468.0,9,40,1,No,3,0
C00441,26,Female,3066,511.0,6,28,3,Yes,2,1
C00442,20,Female,3942,438.0,9,33,1,Yes,0,0
C00443,24,Female,2000,400.0,5,120,1,Yes,5,1
C00444,36,Female,4116,343.0,12,12,3,No,5,0
C00445,43,Female,686,686.0,1,90,1,Yes,1,1
C00446,29,Female,7550,755.0,10,112,5,Yes,4,1
C00447,21,Male,3120,624.0,5,112,3,No,4,0
C00448,24,Female,4824,536.0,9,25,3,Yes,0,0
C00449,46,Female,632,316.0,2,101,5,No,0,0
C00450,44,Female,4120,515.0,8,93,2,No,5,0
C00451,55,Female,4781,683.0,7,73,3,Yes,1,0
C00452,27,Female,5464,683.0,8,3,3,No,5,0
C00453,40,Male,954,477.0,2,103,3,Yes,0,0
C00454,57,Female,5100,425.0,12,86,2,Yes,0,0
C00455,49,Female,820,410.0,2,20,2,No,1,0
C00456,18,Male,1230,410.0,3,100,2,No,3,1
C00457,33,Female,6120,680.0,9,116,5,Yes,1,0
C00458,22,Female,2149,307.0,7,84,1,No,4,0
C00459,55,Male,9264,772.0,12,32,4,No,3,0
C00460,21,Female,2800,350.0,8,51,2,No,4,0
C00461,30,Female,3462,577.0,6,3,2,Yes,1,0
C00462,56,Female,2664,444.0,6,64,2,Yes,5,1
C00463,46,Male,3087,343.0,9,105,3,No,3,0
C00464,39,Female,1380,460.0,3,119,3,No,0,0
C00465,49,Male,1690,845.0,2,88,2,No,2,1
C00466,54,Male,2142,714.0,3,106,3,No,1,0
C00467,39,Male,1101,367.0,3,113,5,No,2,0
C00468,57,Male,3843,549.0,7,102,3,No,3,0
C00469,56,Female,978,326.0,3,84,5,Yes,2,1
C00470,47,Female,8940,745.0,12,83,3,No,0,0
C00471,41,Female,7227,803.0,9,100,2,No,1,0
C00472,23,Male,3504,876.0,4,101,4,No,2,0
C00473,31,Female,706,353.0,2,51,1,Yes,3,1
C00474,40,Female,7515,835.0,9,120,4,No,3,0
C00475,33,Male,319,319.0,1,69,3,No,3,0
C00476,18,Female,1692,423.0,4,56,5,Yes,3,1
C00477,39,Female,7020,585.0,12,115,1,Yes,5,1
C00478,38,Female,1449,483.0,3,92,2,No,3,1
C00479,22,Female,1329,443.0,3,72,2,Yes,5,1
